HM Code,HM Title,HM Alternate Title,Arrangement of,Publisher,Type,Composer,Arranger,Level,Octaves of bells,Octaves of chimes,Occasion,Duration,Key signature changes,Accidentals,Key signature(s),Time signature changes,Time signature(s),Notes,Repeats,Techniques,Original copyright,Current copyright,Number of pages,Link to buy,Link to listen/view
HM00026A,Only Time,None,Only Time,Mareike Davis,Arrangement of copyrighted work,Enya,Mareike Davis,2,3,None,"Secular, Pop song, Patriotic",170,No,No,Ab (4 flats),No,4-Apr,,None,"Ring, Echo, Table mallet, Suspended mallet, Mart, Mart lift, Swing, Thumb damp",2000,2017,5,https://www.sheetmusicplus.com/title/only-time-digital-sheet-music/21155913,https://www.sheetmusicplus.com/title/only-time-digital-sheet-music/21155913
HM00027A,Følge meg til Kelvingrove,None,Kelvingrove,Mareike Davis,Arrangement of public domain work,None,Mareike Davis,3-,"3, 5",None,"Sacred, Secular, Traditional",174,Yes,Yes,"Eb (3 flats), Db (5 flats)",Yes,"2/4, 4/4",,None,"Ring, LV, Echo, Shake, Swing",None,2018,5,https://www.sheetmusicplus.com/title/flge-meg-til-kelvingrove-digital-sheet-music/21171725,https://www.sheetmusicplus.com/title/flge-meg-til-kelvingrove-digital-sheet-music/21171725
HM00028A,Havana,None,Havana,Mareike Davis,Arrangement of copyrighted work,Camila Cabello,Mareike Davis,2-,2,None,"Secular, Pop song",122,No,Yes,Bb (2 flats),No,4-Apr,,None,"Ring, Echo, Mart, Mart lift, Shake",2017,2019,6,https://www.sheetmusicplus.com/title/havana-digital-sheet-music/21297980,https://www.sheetmusicplus.com/title/havana-digital-sheet-music/21297980
HM00029A,Imagine,None,Imagine,Mareike Davis,Arrangement of copyrighted work,John Lennon,Mareike Davis,3,3,None,"Secular, Pop song",188,No,Yes,C,No,4-Apr,,Optional,"Ring, LV, 4iH",1971,2021,12,https://www.sheetmusicplus.com/title/imagine-digital-sheet-music/21960288,https://www.sheetmusicplus.com/title/imagine-digital-sheet-music/21960288
HM00030A,Imagine,None,Imagine,Mareike Davis,Arrangement of copyrighted work,John Lennon,Mareike Davis,3,2,None,"Secular, Pop song",189,No,No,C,No,4-Apr,,Optional,"Ring, 4iH",1971,2021,12,https://www.sheetmusicplus.com/title/imagine-digital-sheet-music/21967123,https://www.sheetmusicplus.com/title/imagine-digital-sheet-music/21967123
HM00031A,Mayday,None,Mayday,Mareike Davis,Arrangement of copyrighted work,TheFatRat,Mareike Davis,4+,"3, 5",2,"Secular, Pop song",305,No,Yes,Bb (2 flats),No,4-Apr,,None,"Ring, LV, Suspended mallet",2018,2021,13,https://www.sheetmusicplus.com/title/mayday-digital-sheet-music/22001989,https://www.sheetmusicplus.com/title/mayday-digital-sheet-music/22001989
HM00032C,Desert Bluebells,None,None,Mareike Davis,Original,Mareike Davis,None,,,,,,,,,,,,,,,,,https://www.vreana.com/resources/sheet-music,
HM00033A,Joy To the World,None,Joy To the World,Mareike Davis,Arrangement of public domain work,George Frideric Handel,Mareike Davis,,,,,,,,,,,,,,,,,https://www.vreana.com/resources/sheet-music,
HM00034A,Oh Come Emmanuel,None,"Oh Come, Oh Come, Emmanuel",Mareike Davis,Arrangement of public domain work,Folk Tune,Mareike Davis,,,,,,,,,,,,,,,,,https://www.vreana.com/resources/sheet-music,
HM00035C,THE Peal,None,None,Mareike Davis,Original,Mareike Davis,None,,,,,,,,,,,,,,,,,https://www.vreana.com/resources/sheet-music,
HM00036A,The Belsnickel,None,Jingle Bells,Mareike Davis,Arrangement of public domain work,James Pierpont,Mareike Davis,3+,"3, 5",None,"Christmas, Secular",171,Yes,Yes,"F (1 flat), Ab (4 flats)",Yes,"4/4, 6/8",,None,"Ring, LV, Mart, Ring touch, Shake, Thumb damp",None,2021,7,https://www.sheetmusicplus.com/title/the-belsnickel-digital-sheet-music/22043061,https://www.sheetmusicplus.com/title/the-belsnickel-digital-sheet-music/22043061
